filename,localPath,absolutePath,sizeBytes,sha256,role,train_eligible,excluded_from_v4_e01_train_pack,v4_domain_group,sessionGroup,width,height,fps,frameCount,durationSeconds,codec,recordingCreationTimeUtc,filesystemCreatedTimeLocal,filesystemModifiedTimeLocal
Ants10.mp4,samples/v2/Ants10.mp4,C:\Dev\Ants\samples\v2\Ants10.mp4,244976600,876763613a636b6f4d561e08fee76a0ed51147e6527e93baaca6ae4d3b4aaa18,V4_TRAIN_SOURCE,True,False,topdown_arena,session_B_2026-08-14_topdown_arena,1920,1080,60.01980632890937,5794,96.636937,h264,2026-08-14T06:12:01.000000Z,2026-08-13T23:19:00,2026-08-14T00:31:01.092498
Ants11.mp4,samples/v2/Ants11.mp4,C:\Dev\Ants\samples\v2\Ants11.mp4,307393123,8d5921d1af58d47ba2ce7c2c7fbaa06127ca7c8fe46c5de8d58e37188be13510,EXISTING_DEV_VALIDATION_ALIAS,False,True,development_validation_alias,session_A_2026-08-13_tube_translucent,1920,1080,60.01973703753008,7274,121.264833,h264,2026-08-13T07:56:40.000000Z,2026-08-13T23:18:46,2026-08-14T00:31:02.944296
Ants2.mp4,samples/v2/Ants2.mp4,C:\Dev\Ants\samples\v2\Ants2.mp4,5345726,47416ba9ff809d819f816d89e3881f618a29cd2f54f49c52ff708163d5654d43,AUXILIARY_SHORT_SOURCE,False,True,auxiliary_short_source,session_B_2026-08-14_block_nest_entry,1920,1080,60.02000666888963,118,2.123063,h264,2026-08-14T06:05:08.000000Z,2026-08-13T23:18:50,2026-08-14T00:30:52.970569
Ants3.mp4,samples/v2/Ants3.mp4,C:\Dev\Ants\samples\v2\Ants3.mp4,79874171,2692ad60fe3f4f406b2f4b20973e63382707856410ca382607cc6a27138cff69,V4_TRAIN_SOURCE,True,False,lateral_chamber,session_B_2026-08-14_lateral_chamber,1920,1080,60.020059811103444,1883,31.485271,h264,2026-08-14T06:08:10.000000Z,2026-08-13T23:18:56,2026-08-14T00:30:53.417857
Ants4.mp4,samples/v2/Ants4.mp4,C:\Dev\Ants\samples\v2\Ants4.mp4,129886391,b57141b70f2fd0ceafdcf4676990f8204eb11d4cf6601a25eaa0bd5b31a20192,V4_TRAIN_SOURCE,True,False,block_nest_entry,session_B_2026-08-14_block_nest_entry,1920,1080,60.019863064053816,3066,51.169041,h264,2026-08-14T06:07:20.000000Z,2026-08-13T23:18:54,2026-08-14T00:30:54.175942
Ants5.mp4,samples/v2/Ants5.mp4,C:\Dev\Ants\samples\v2\Ants5.mp4,156126540,9ad3cddc7e050ccc47233797ac219d17902e7ee5672b150bf0b6a2dffab3910c,V4_TRAIN_SOURCE,True,False,topdown_arena,session_B_2026-08-14_topdown_arena,1920,1080,60.019827639816675,3689,61.604563,h264,2026-08-14T06:14:22.000000Z,2026-08-13T23:19:04,2026-08-14T00:30:55.051544
Ants6.mp4,samples/v2/Ants6.mp4,C:\Dev\Ants\samples\v2\Ants6.mp4,186279042,d525ab0a5d1c3625c79ad50288d4c4480faf7880faf40b97e07b5e6043b937d0,V4_TRAIN_SOURCE,True,False,block_nest_entry,session_B_2026-08-14_block_nest_entry,1920,1080,60.01963386478084,4402,73.554271,h264,2026-08-14T06:06:26.000000Z,2026-08-13T23:18:52,2026-08-14T00:30:56.339052
Ants7.mp4,samples/v2/Ants7.mp4,C:\Dev\Ants\samples\v2\Ants7.mp4,185231419,f1b690fcca541958f4026e733c3b93db0599919d60940a4c37de3f5e286be848,V4_TRAIN_SOURCE,True,False,lateral_chamber,session_B_2026-08-14_lateral_chamber,1920,1080,59.975894593632155,4379,73.123292,h264,2026-08-14T05:58:24.000000Z,2026-08-13T23:18:50,2026-08-14T00:30:57.402611
Ants8.mp4,samples/v2/Ants8.mp4,C:\Dev\Ants\samples\v2\Ants8.mp4,155536454,a6d215f234f5055e70c30ffa083fd900b22e3579371ca08f220ca5b0ee1680b8,V4_TRAIN_SOURCE,True,False,lateral_chamber,session_B_2026-08-14_lateral_chamber,1920,1080,59.97525504076573,3676,61.398208,h264,2026-08-14T06:09:39.000000Z,2026-08-13T23:18:58,2026-08-14T00:30:58.336818
Ants9.mp4,samples/v2/Ants9.mp4,C:\Dev\Ants\samples\v2\Ants9.mp4,194299399,bf5f73aa86383edf263757edeb1d68c4a63cb3a1981a580b1d203de137fb5fdd,V4_TRAIN_SOURCE,True,False,topdown_arena,session_B_2026-08-14_topdown_arena,1920,1080,60.019806274774176,4594,76.661541,h264,2026-08-14T06:13:19.000000Z,2026-08-13T23:19:02,2026-08-14T00:30:59.468121
